5863	6	10926
8255	0	740
3871	4	975
13871	4	8346
13186	6	10234
1045	6	3287
3987	6	6859
5863	3	7571
13979	3	5411
1563	0	2996
2546	3	11041
4308	4	1336
1754	4	4675
1406	3	14649
10216	3	6048
4859	4	2032
13871	6	13409
2427	6	5167
5863	6	7171
4308	6	12551
3871	3	2149
14450	6	6573
5879	3	12897
5863	6	10550
4955	3	9158
3192	6	10832
4859	3	10170
13186	3	6795
3146	6	6610
5522	3	6800
1045	6	14034
5879	3	6244
5863	6	13180
5869	3	12770
13333	6	5231
8654	3	11913
3265	4	3588
2033	3	2890
5863	3	11231
13979	6	14188
10207	6	12705
2546	4	13379
4859	6	10285
11913	4	14076
3192	4	8036
4955	6	9540
11923	0	5745
13044	6	10738
3287	6	5282
10207	6	4308
5863	6	6647
14450	6	3022
2425	3	13213
4955	3	3109
12989	0	665
2546	6	9348
3192	4	2870
13044	3	7678
5863	3	10207
9235	4	13486
3871	6	3956
5863	6	14346
11970	6	7530
3871	6	14489
6608	3	13546
4467	6	8582
3871	3	2004
11913	6	2557
9719	4	2151
4859	4	12601
6608	6	11972
11970	3	8035
3192	3	7518
6608	6	13155
11970	6	12554
11970	4	1835
3265	4	1249
2079	6	5231
2033	3	2775
7504	6	14243
11037	3	2538
13486	6	6239
5879	3	9235
3987	3	9189
3871	6	6342
13350	6	12169
11913	6	5444
1910	0	751
6939	6	13032
11970	6	7101
10166	6	9609
3287	3	11108
14085	6	6162
3192	6	14022
14450	6	8869
11913	6	11905
14680	6	14034
1045	4	7066
3451	0	12675
7895	6	11775
6939	3	14253
5869	6	6435
13044	3	3650
6610	6	11000
12137	4	5935
6608	3	14320
4955	4	4951
14680	6	9555
3871	4	13385
5869	6	6683
3192	3	7760
5863	6	5975
6939	3	9599
1526	4	13418
4132	0	12675
6939	6	6507
5879	3	4677
2546	4	11748
1045	4	12469
11341	3	12219
12710	0	705
5522	6	14013
7946	4	13814
11702	0	3570
7504	6	1244
4955	6	8583
7504	3	12603
11341	4	1883
6610	6	13834
2546	4	9419
5863	4	6132
3192	6	10035
1754	3	8018
4454	4	5872
8632	0	682
5863	6	11376
6610	6	8339
7504	3	9158
10207	6	11754
1526	6	3527
9873	0	846
7895	3	1253
11913	4	2898
6939	6	7425
3192	6	6127
11970	6	5086
4308	4	10937
2128	6	7497
4308	6	7479
11037	6	8687
2546	3	9121
14375	0	5745
3871	6	10937
4955	3	6737
6608	4	10426
5863	6	10057
3146	3	7946
7372	0	12675
1754	4	12680
8631	0	5228
4454	4	12142
3192	3	10976
11341	6	3796
13871	4	2133
10207	6	1211
4859	6	6554
2546	4	3314
13350	3	2772
6608	6	6758
5522	6	2013
11970	4	7281
6939	6	2801
13871	4	4652
4859	6	5142
4955	6	14081
8654	4	14306
5879	3	5444
13979	6	3959
11341	3	1105
14085	6	11170
4308	6	2013
13186	6	11062
3871	6	12482
5863	3	4899
11970	6	2857
3871	4	11265
5882	3	6768
3871	6	2934
3871	6	5985
3987	6	9888
11037	6	9110
3192	6	10746
1045	6	6034
5008	0	6807
10207	4	7760
6221	0	751
5863	6	5669
9719	4	13751
13979	4	8601
5863	4	13645
1526	3	3146
9837	4	6322
4874	6	5167
2546	6	5581
9644	5	868
5863	4	5905
3192	6	14326
7946	4	6114
5869	4	13849
1539	3	3146
6939	6	12355
5863	6	14553
6325	6	8948
8654	3	5531
10207	6	12650
3192	3	9711
7360	4	5167
6610	6	13300
6608	3	2687
2128	3	5742
11041	6	13430
13044	3	7186
7895	6	12105
13486	6	2151
5869	4	13404
10207	3	13515
6939	3	12695
5954	6	6532
7946	3	13486
5863	6	8529
2546	6	12664
13979	3	13796
6939	4	12502
14085	6	12199
4467	6	5160
1069	0	751
9579	0	5745
6610	6	9096
13186	4	13512
3871	4	7641
5522	6	13385
7895	6	7519
8678	6	6521
13186	3	7973
11341	3	1391
11341	3	4090
11913	4	7710
10207	3	6053
2546	6	2504
9121	3	1316
14680	4	12862
11913	6	5715
1754	4	1409
5879	6	12754
14680	4	3840
1045	3	6725
3192	6	1665
3192	3	5954
14680	6	12455
13044	4	9288
5863	4	6986
14680	6	3478
4955	4	13400
13979	3	14320
2546	4	6697
14085	6	11558
3192	3	9988
5863	6	9419
13186	4	7102
10216	6	9326
3192	6	12325
2546	6	1351
14566	4	3192
5869	6	2308
1754	6	4718
13350	4	9791
14450	3	8610
10017	4	13214
5863	4	12980
6608	6	8281
14450	4	13973
13350	6	12183
13486	6	5356
13979	6	9438
1045	4	6325
2546	6	6653
6610	6	10046
2546	6	14083
5863	6	11974
4454	3	9710
14081	6	4784
11970	4	10398
1526	6	14594
1292	0	5745
2546	6	13547
5863	4	2607
14450	3	14079
5863	4	4492
5863	3	13461
2546	4	1932
1045	3	2133
14450	3	7186
3192	3	973
5879	6	11209
4955	4	2133
11970	4	2914
5863	6	7477
6608	3	1276
11072	3	10501
5863	6	2455
7504	4	8849
2546	3	5218
7383	0	257
5869	3	1113
6608	4	13213
1754	3	9193
3192	6	4556
1724	3	5876
4955	6	5034
10207	4	4368
4308	4	7619
7895	6	8598
11341	3	6897
11072	3	2697
1754	3	13513
10040	3	14450
6608	3	1723
5863	3	9165
11341	4	7659
11341	3	10753
3265	3	6753
4955	6	6108
11913	4	7592
1754	4	11442
1539	3	13303
2425	3	7282
2546	4	11169
6325	4	5160
14085	3	14391
4467	4	3755
7946	6	13403
13117	0	850
11341	3	13526
9121	3	10955
4955	4	6854
5863	3	11651
3192	6	9497
13186	6	8138
11341	6	6929
13186	6	3537
3192	3	5225
8654	6	5212
5879	3	3240
1045	3	6398
14085	6	12177
4955	6	5040
3265	6	13384
2425	3	9995
4955	4	7919
1754	6	6325
13871	4	11996
11442	6	13945
2033	6	2684
5869	4	6397
13105	6	5231
7504	4	14393
3192	6	9638
4467	4	10015
3265	3	8655
5863	6	13389
6939	6	2271
14241	6	11811
5863	4	6492
7946	6	8617
5869	6	8111
13979	6	2972
3192	4	14166
2546	6	4336
5879	6	6323
1754	6	12485
11913	3	6134
13486	3	4308
2012	6	9547
6964	4	14085
3631	0	751
3192	6	4649
14450	4	1721
3192	6	12123
10207	3	2863
7458	0	642
13871	4	12650
3192	6	12407
1539	6	5532
4308	6	2160
3871	6	3093
3987	6	1113
3265	3	4934
3192	6	6417
1754	4	5161
10216	3	3878
13979	3	3850
10826	6	2955
9837	6	10431
11033	0	9620
9235	6	9338
2546	6	11429
2546	4	5549
13979	6	7230
1754	4	7411
6470	6	1315
6325	3	8022
5863	4	10959
5863	3	5610
14081	3	6202
10207	6	6103
14450	6	1649
2546	3	13137
9719	3	2783
5863	6	14174
10819	6	13659
5882	6	14494
3192	4	8472
4977	4	13526
5863	6	13423
3192	3	3934
3192	4	8439
1754	6	5143
1754	6	2733
2546	4	7249
10207	3	12919
1754	3	8234
11037	3	11442
4467	4	8018
2546	6	14349
4859	6	6444
3192	6	8433
13871	6	10735
1045	6	11808
1045	6	7486
5882	6	8862
3192	6	11306
4308	4	8012
5863	3	9032
13979	6	4646
3192	6	5946
1539	4	9315
3192	4	13515
4308	6	8434
14649	4	1881
14241	6	12107
3871	6	10879
11341	6	6610
11913	6	4307
3565	6	5167
11341	6	12765
3192	6	13409
11779	5	6614
4955	4	12679
5027	0	340
5863	3	1888
2546	6	2512
14680	6	12334
3871	6	7067
14363	0	751
11072	3	13475
1754	6	3791
4467	6	6485
9235	6	10245
1526	6	3984
5879	4	14338
13350	6	2992
4308	6	2786
1754	3	3178
2425	4	3971
5632	0	362
13474	6	1275
11341	3	6834
1526	3	7970
2546	6	983
11341	3	7747
1526	6	5713
4167	0	12675
4955	6	4207
2546	6	4783
13871	4	5782
10819	6	2680
13871	6	12022
14680	6	1840
14649	6	975
4955	4	2811
13979	3	13163
2012	4	5090
11341	6	3700
10166	6	7719
3192	3	1118
6964	3	3887
8567	0	714
7946	4	12896
2128	3	9166
7946	3	6445
6608	4	4401
11341	6	6088
1754	4	6258
3987	6	6697
10017	6	10801
4308	3	1349
11341	3	9383
14308	6	2642
10216	6	2653
10166	6	5801
14241	4	10955
5869	6	3181
6608	3	10385
7895	6	7680
1144	0	802
5863	4	1970
1533	4	5956
14085	6	10399
5863	6	10578
11913	6	10287
2546	6	13858
11442	3	13551
14680	6	14681
2546	6	1939
5863	6	12446
3987	6	6433
14450	4	4308
3192	6	10583
2546	4	2776
10216	6	2235
13350	3	11714
5863	6	13483
1754	4	3696
10207	6	9858
6325	3	1704
3192	6	6580
1526	3	10746
13474	4	13979
3192	3	9165
2546	6	6789
6939	6	2835
